Hotel Name,Price
Thamel Eco Resort,"NPR 20,555"
Royal Penguin Boutique Hotel & Spa,"NPR 20,996"
Hotel New Era,"NPR 21,582"
Tibet Boutique Hotel,"NPR 27,660"
Hotel Thamel,"NPR 27,865"
Hotel Kailash Kutee,"NPR 30,051"
Nirvana Boutique Hotel,"NPR 30,979"
The Address Kathmandu Hotel,"NPR 33,466"
Hotel Jampa,"NPR 36,061"
"Shuvatara Suites & Spa, Thamel","NPR 36,716"
Skye Inn Kathmandu,"NPR 36,983"
"Hotel Ama-La, Thamel, Kathmandu","NPR 39,202"
Courtyard Pujan Hotel,"NPR 39,339"
Kantipur Temple House,"NPR 43,027"
Hotel Thamel Park,"NPR 47,944"
Kathmandu Guest House by KGH Group,"NPR 48,491"
DOM Himalaya Hotel,"NPR 49,493"
Hotel Manang,"NPR 57,356"
Fairfield by Marriott Kathmandu,"NPR 62,560"
Seto Ghar Hotel,"NPR 64,909"
Hotel Roadhouse,"NPR 65,401"
"Hotel Thamel House - 6 km from Boudhanath Stupa, Kathmandu","NPR 71,052"
Hotel Barahi Kathmandu,"NPR 76,629"
"The Malla Hotel - Thamel, 2 km to Swayambhunath Temple","NPR 77,449"
Hotel Moonlight,"NPR 83,322"
